tweet_id,sentiment,content
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,Funeral ceremony...gloomy friday...
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956969035,sadness,@charviray Charlene my love. I miss you
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956971077,sadness,The storm is here and the electricity is gone
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.
1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1956996776,sadness,Is miserable  i feel like im gona cry  sux!
1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
1956998704,sadness,Now I am depressed after watching so you think you can dance
1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957002082,sadness,"Last day working for the Uni today, sad times"
1957005226,sadness,is still missing her husband.    I really want him home.
1957005279,sadness,I miss my puppy
1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.
1957008193,sadness,but now i have no money for a phone
1957008498,sadness,Too bad the Red Devils.. disappointing to say the least
1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1957012769,sadness,is a bad friend
1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
1957013896,sadness,@lenje - Still a pity it comes with no lamb though
1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
1957016697,sadness,Had to cancel wow for now
1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957018061,sadness,Up late with nothin 2 do.....
1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
1957026475,sadness,It's pissing me off and not letting me follow ericka
1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957028895,sadness,I haven't seen Muffin in two whole days!
1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
